temp07	
------
19.3	4
18.4	4.5
19	3.3
19	3.6
20.4	2.7
20.2	2.2
19.2	2.4
19.4	3
19	2.8
19.1	2.8
20	0.7
18.3	4
17.2	0.7
18.5	-0.5
17.2	2.4
15.7	0.8
16.3	1
17	2
17.5	1.6
18.6	1.7
18	2.5
18	2.7
14.8	6
20.5	2
21.4	2.5
21.7	3.4
21.5	4
21.9	4.8
DNA	DNA
22.5	6.8
22.8	5.5
21.6	8
22.5	6.2
17.2	11.5
20.3	8.6
15.2	9.4
17	8
16.2	7.7
20	6
18.4	8.4
19	6.1
16	9.6
20.4	7
19.4	7.4
9.2	2
15.5	2
17	2.4
18	4.4
19.4	2
20.4	3.3
21.5	4.4
22.5	7.6
22.4	7.4
23.4	6.4
23.6	7
14.8	8.1
20.5	8.4
22.5	5.8
22.1	5.6
16	7.8
21.5	6
22.6	4.6
23.9	7.2
24.5	7
23.9	7
23.3	8.8
23.5	6.7
24	8.4
24.5	8.1
24.3	7
19.2	7
14.5	9
21.2	9.3
22.4	7
22.3	5.6
23.3	6.4
24.4	10
25.6	11.3
26.2	11
26.4	11.6
27	10.1
28.5	11
29.4	11.6
29.3	11.4
28	9.8
26.8	10.6
28.5	15.3
30.6	13.5
29.6	14
30.4	15.4
31.7	17.2
30.7	14.6
32.3	12
29.5	12.4
28.5	11.7
28	12.3
29.5	14.1
28.5	10.2
28.5	10.6
28.3	10.2
27.6	14.7
27.3	9.5
28.8	16.7
28.5	17.2
30.1	16.5
29.7	18.3
30.5	15.2
28.5	15.6
29.7	13.5
30.5	14.3
28.3	15.3
28.7	12.8
29.5	12.6
29.2	13
27.3	12.2
29.2	12.4
28.7	12.7
28.6	14.8
30.4	16.2
26.2	15.6
31	13.8
29.6	16
29.2	14
29.8	16.2
29.9	17.5
29.2	14.6
28.3	15.6
26.7	17.6
27.5	16.8
30	15.6
29	17.6
29.2	15
29	16.3
28.5	14.2
28.2	17.2
26.1	19.5
28.5	18.7
26	19.2
29.5	17.7
28.6	18.4
30	19.2
31.5	19.7
31.6	18.7
31.2	18
31.5	16.1
31.6	16.6
32.5	17
32.1	16.7
32	15.7
32	17.2
33.2	15.4
33.8	16.2
33.8	16.2
32	18.7
31	17
27.5	20
25.8	18.4
29.8	19.3
26.6	20.4
26.2	21
28.8	20.4
29.7	20.4
32.3	21
28.1	21.2
28.3	19.5
24.6	19.4
29	18.9
31.1	19.6
30.4	20.4
30.6	19.5
28.6	20.2
31.1	19
31	18.7
30.5	19.4
29	20.2
26.5	19.6
28.7	20.8
30.8	19.4
30.2	19
31.2	20.6
31.3	20.7
31.8	20.8
30.5	20.8
30.5	21.8
32	20.5
31.5	20.5
29.8	21.5
31.4	20.8
30.2	21.4
31.6	21.4
30.2	21.6
27.4	21.4
29.2	21.5
30.5	20.7
30	20
29	20.6
29	20.2
24.6	21
29.8	20.4
31.3	21.4
29.1	21.3
27.9	21
25.3	20.8
28.2	20.3
25.1	20
27.2	20.4
24.5	20.3
25	19.7
24.7	20
25	18.8
22.7	19.8
26.5	19
28.5	20.2
28.5	20.1
29.8	20.6
31.2	20.2
30.4	20.2
31	21.6
30.8	21
31	19.6
30.8	21.3
31.3	21.6
32	21.8
28.3	22
27	20.4
28.5	21.3
29	20.8
27.7	21
25	20.3
28	20
26	20
30	19.5
30.2	20.5
30.7	20.8
30.3	20
26.7	21
30	19.1
28.4	20.4
28.9	20
28	20.5
29.4	20.4
29.7	20.3
27.5	20.3
29.6	20.4
29.4	20
28.3	20
25.8	20.5
25.5	19.8
24.4	19.3
30.2	19.2
29.8	20
29.7	19.8
31.5	20.2
31.6	19.4
31	20.5
30	20
30.5	19.4
30.8	19.5
30	19.4
29.2	21.4
27.5	18.5
31.4	18
31.8	20
30.7	19.6
31.5	18.6
28.4	18
23	18.4
19.1	17.2
22.2	17.1
30.2	17.6
24	18.7
19.4	17.5
27	17.6
29.9	16.6
31.1	18
31.2	17.8
30.2	18.4
30.2	18.3
31.5	19
31.9	18
30.7	18.8
29.7	18.8
30	17.5
29.2	19.5
29.2	17.8
25.7	17.6
29.4	16.2
26.7	16.5
18.7	16
25	13.2
27.5	10.5
27.5	14.9
27.2	13.1
26.4	11.6
26.6	12.3
26.4	11.8
25.6	13.8
27.5	12.6
27.6	12.4
27.5	12.2
27.2	12
26.8	13.1
26.5	12.8
26.5	12.4
26.8	13.2
25.7	12.5
26.9	14.7
26	12.8
27.5	13.2
25	13.8
24	12.6
24.5	11.5
22	11.7
24.7	8
25.4	7.5
24.5	7.8
24.4	7.8
24.6	6.3
25.6	6
24.7	5.7
24.7	5.2
24.1	6.2
25.1	7
25.5	7.4
23.7	10.2
23.7	8
24.5	7.2
25.8	6.3
24.4	5.9
24.4	6.5
23.7	6.6
23	8
22.5	9
22.5	7.4
21.9	7
21.9	5.6
18	6.2
21.8	4
21.8	3.8
20	5.3
22	5.1
21.4	5.4
21	6.6
18.3	7.7
19.3	4.8
20	3.6
21.5	3.8
21.2	3.4
21.4	1.2
20.9	0.5
21.5	0.7
20.5	1
21	1.5
23.5	0.9
21.7	1.4
20	3.5
20.5	6
21.5	3.9
20	6
21.1	4.5
20.6	4.5
20.6	4
20.6	4.5
21.1	1
22	1.3
