humid08:	
-----
100	79.2
100	69.1
100	52
96.8	48.6
95.2	50.2
93.5	58.2
97.1	60.5
96.9	62.3
97.1	45.3
97.1	52
96.9	46.3
93.9	48.8
97.1	62.7
100	63.3
80.5	65.2
100	71.1
100	56.3
97.3	61
97.4	60.7
97.3	58.1
100	36.3
90.5	56.5
91.2	72.4
84.9	69.9
97.1	66.4
88.6	58.9
92.4	69.9
96.5	65
97.1	65.7
84.5	70.5
95.1	53
96.4	55.3
98.2	65.2
93.9	65.9
96.6	31.1
90.1	29.7
85.6	25.1
78.7	38.3
84.6	49.8
92.1	51.4
89.1	43.4
98.5	47.1
94.1	48.2
91.2	51.7
74.1	57.6
97.1	62.1
95.8	63.4
78	54
93.3	58.7
97.2	58
92.7	62.6
93.2	41.7
94.7	46.1
93.8	57.4
92.6	39.6
72.1	54.7
75.6	64.4
93.1	51.7
97.3	49.2
87.9	56.2
93.1	58.3
92.9	85.9
88.7	88.1
93.5	61.9
95.2	63
85.8	70
97.6	54.3
95.3	63.7
97.7	61.6
91.2	44.7
95.5	59.1
87.5	40.9
93.3	42.9
87.1	40.9
78	47.4
84.9	54.4
81.8	58.1
71.8	58.1
100	38.1
62.6	30.2
73.9	32.1
69.6	42.4
70.1	68.1
79.9	55
83.1	56.2
75.4	44.5
63.9	49.7
86.5	47.4
65.2	32.8
61.6	61.1
61.9	73.3
69.5	93.3
84.9	79.1
76.7	67.5
91.8	85.2
76.4	71.3
78.5	92.9
79.7	67.2
74.1	65.2
78.6	51.2
72.7	60.5
71.4	68.3
82.5	100
72.3	58
64.4	38
71.8	37.5
63.5	34.1
68.8	28.9
51.5	24.7
54.5	28.2
55.1	33.1
56.2	50.7
72.5	54.6
75.5	46.4
73.9	43.2
65.5	46.6
67.5	25.9
55.8	50.8
59.4	51.8
56.8	60.3
71	47.9
72.8	38.3
80.7	28.6
55.9	62.5
69.8	52.9
77	81.9
92.3	63.6
72.5	55.8
71.3	63.5
65.5	60.1
82	64.3
67.8	61.5
67.8	51.2
60.1	52.9
75.8	57.9
70.4	45.5
79.4	57.7
90.5	78.7
69.2	49
78.8	51.9
68.2	75
67.8	81.6
74.6	67.8
86.5	71.1
73.8	60.9
75.1	66.4
89.2	61
72.5	50.5
69	52.1
64.8	42.8
63.4	40.3
59.7	56.1
65.7	43.5
66.6	43.2
80	55.4
77.9	58
77.9	89.6
72.3	76.3
77.4	66.6
83.4	88.3
89.8	84.3
82.3	77
88.4	73.3
70.1	72.9
72.8	83.9
83.7	85.2
84.9	72.8
98.3	79.2
71.5	68.8
85.4	73.1
83.6	85.4
91.3	81.3
67.4	75.4
88.3	86.6
92.1	86.7
70	69.1
81.5	84.1
81.4	86.4
96.5	75
68.3	73.2
94.7	80.7
83.6	81.3
96.6	73.9
90.2	76.4
72.8	79.8
75.9	80.9
75.5	93.4
73.8	78.4
79.8	81.1
76.3	64.2
76.2	82.7
78.3	73.7
77.8	88.5
87.6	88.4
83.9	78
79.5	80.2
88.3	83.9
88.4	83.9
76.8	84.2
87	84.3
87.6	86.3
83.9	82.2
84	73.5
82.3	79.8
89.8	79.6
91.4	76.9
76.7	70.1
83	69.9
89.9	71.3
91.4	75.6
76	77.4
85.4	82.4
93.2	83.9
86.8	87.1
85	91.5
93.1	95.7
94.6	76.6
78.2	78.3
79.4	77
89.3	71.7
82.5	71.9
72.7	85.5
77.1	89.1
87.2	74.7
82.7	77.8
86.9	77.2
78.1	81.9
75.3	87
85.2	76.9
83.6	73.3
70.4	79.7
86.9	77.1
82.2	80
83	74.3
82.2	79.6
77.6	71.1
89.1	78.4
71.6	74.5
93	81
94.6	75.5
93.1	81
85	85.5
80.6	77.5
96.4	76.1
86.2	68.6
86.4	73.5
89.9	71
78.1	69.8
84.3	67.6
81.5	62.5
75.8	75.6
84.7	83.5
83.3	76.9
85.1	70.1
86.6	69.8
88	91.4
76.1	77.1
94.6	67.6
86.2	57.1
71.9	72.6
79.7	64.4
84.9	66.2
73.3	69.7
87.9	85.2
92.8	73.1
83.6	76
92	80.3
92	94.4
98.1	89.8
82.3	66.7
84.5	64.4
96.4	93
91.2	91
86	69.7
90.8	69.7
76.4	74.4
84.7	72.4
80.8	86.9
84.7	83.6
81.2	81.9
83.5	90
82.7	68.3
92.3	68.6
82.3	75.4
82.3	71.3
96	75.2
75.8	66.8
85.4	75.2
86.2	73.4
83.8	70.1
88.6	73.3
79.2	67.5
78.4	61
90.4	65.4
86.3	65.7
91.8	73.9
77.7	65.9
76.6	66.7
80.3	66.4
80.6	63.3
84.4	88.5
80.4	83.7
97.9	73
87.9	71.7
86.4	66.7
81.1	66.7
93.9	66.2
79.3	83
78.2	70.4
83.9	64.4
89.3	65.5
85.9	79.3
85.6	65.9
93.3	62.4
97.7	65.3
95.7	71.6
83.6	72.9
95.6	76.5
89.2	74.8
97.6	69.6
90.1	75.1
95	79.7
84.4	72.1
92.2	70.5
86.8	68.7
97.6	72.9
97.4	66.1
93	87.4
100	68.2
88.3	69.1
97.5	64.5
95.1	56.6
97.5	58.6
97.4	76.1
97.4	79.9
96.2	70.8
97.6	70.9
97.5	70.1
95.2	70.9
97.6	75.8
97.5	67.7
91.9	72.1
87	80.2
98.7	72.6
98.7	74.9
100	67.7
85.4	58.8
98.6	56.3
97.1	70.9
97.3	87
97.2	66.3
95.8	70.2
97.2	67.8
94.8	75.8
97.4	75.5
97.3	68.5
96	75.8
97.5	75.4
97.3	72.1
91.6	67.7
90.3	81.4
97.2	72.2
97.1	77.7
97	71.2
97.1	78.1
90	73.6
