2000:	
--------
100	56.3
95.4	51.4
100	51.1
96.8	57.5
100	48.8
98.4	74.8
100	61.6
95.4	58.2
100	59.7
100	59.5
97.1	50.1
100	51.7
100	78.4
98.5	64.4
100	28.5
100	39
96.7	48.9
96.6	70
100	61
95.3	67.1
90.4	71.8
94.7	68.1
83.3	73.7
89.1	64.8
100	68.5
100	62.6
100	61.9
87.4	36.5
88.7	51.4
78.2	65.2
92.4	66.6
97	81.2
94.6	67.6
90.7	46.3
93.5	48.8
85.9	53.8
100	73.1
95.7	62.7
91.6	62
90.3	51.2
100	54.5
90.5	57.6
100	58.1
97	58.5
82.6	57.1
90.5	34.6
89	50.3
100	70
93.4	45.4
93.3	37
94.1	53.5
83.9	40.2
90.7	47.3
85.6	30.5
90.2	31.9
94.1	51.2
89	44.7
91.4	56.7
94.2	79.3
94.8	64.7
87.9	58.9
94.8	80.2
97.4	47.3
92.3	44.7
81.7	66
89.4	39.4
87.4	23.4
74.5	28.1
63	41.6
63.9	52.8
87.1	35.8
85.1	29.4
76.9	48.9
66.7	42.3
78.1	47.8
85.1	46.9
80.5	41.3
83	30.3
68.1	48.4
79.9	43
65.2	32.3
68.3	23.8
54.1	88.8
92.1	55.8
89.8	40.1
72.7	42.9
78.3	86.9
90.5	61.9
79.1	66.9
67.1	31.2
78	45
84.3	41.3
67.1	25.9
63.4	41.6
81.6	31.5
56.5	27.3
64.5	24.4
61.7	27.4
75.5	32.8
68.7	37
67.6	46.3
68.5	40.2
75.9	54.7
67.2	51.9
73.5	66.4
71	51
61.2	58.1
80.8	61
64.3	54
74.8	61.4
75.7	67.1
89.6	86.9
83.2	56.2
66.6	30.4
84.6	54.7
72.5	65.7
81.4	61.1
86.7	66.2
78.9	56.1
75.8	37.6
62.1	48.2
72.4	84.4
65.9	51.1
80.5	57.1
86.8	59.9
72.6	66.5
59.5	85.7
97.9	57.9
77.4	63
75.4	64.8
82.8	61.8
74.4	57.1
74.4	58.9
67.1	44.7
67.9	62.8
67.1	60.2
91	86
78.6	64.2
82	59.9
78.8	50.3
96.2	73.3
84.9	82.9
76.1	75.8
75.3	87.8
94.6	71
95.5	69.6
91.5	69
80.1	69.8
91	68.4
84.1	72.5
90.9	65.4
83.2	78.9
84.5	68.2
83.2	89.9
79.4	66.1
81.7	62.2
72.4	65.2
91.3	76.3
93.7	74.5
88.8	85.4
89.8	81.1
82.2	74.4
85.4	67.9
77.4	61
76.8	56.6
72.9	74.3
91.6	91.5
87.3	85.5
83.9	100
88.3	89.8
89.8	75.4
83.9	75.4
79	90
84.5	94.7
91.3	76.4
86.7	72.1
80.7	91.4
80.9	69.6
90.3	81.9
80.6	83.9
81.9	77
88.1	77.7
90.5	76.8
87.1	70.2
86.6	77.2
85.9	64.6
82.7	67.8
96.5	83.7
82.2	74.4
83.7	71
80.3	82.3
84	82.1
94.9	77.1
86.9	77.1
82.9	82.5
78.7	75.1
87.2	83.6
88.4	75.3
87.8	77.6
94.9	77.3
76.9	75.2
72.8	70.5
89.8	91.5
91.6	68.6
82.3	84
90.9	87
90.4	67.9
88.4	74.5
89.1	91.6
75.3	68.8
89.9	83.9
90.7	85.4
94.8	82.7
96.4	97.3
93.1	98.3
91.6	82.9
87.4	67.6
84.1	76.4
79.1	90
94.8	71.1
91.6	82
88.6	94.9
95.5	83.9
86.7	80.9
88.2	88.4
91.5	77.1
97.3	81.6
90.8	82.5
82.4	77.1
82.4	77.2
87.2	66.5
79.8	81
89.8	77.7
91.5	76.5
83.9	88.5
86.7	74.7
93.1	71.3
94.6	70.5
86	63.6
80.4	77.6
89.7	78
86.7	80.7
94.8	88.3
83.9	77.1
95.6	77.8
96.6	79.5
91.3	81.4
85.5	76.7
91.4	78
81.1	79.8
86.9	81.4
84.7	79.1
93.9	91.4
83.6	71.1
83.2	73.7
83.6	67.8
79.3	66
76.3	80.7
86.3	83.6
93	85.1
86.5	96.4
89.7	79.7
92.8	72.5
98.1	91
90.9	64.1
82.5	77.4
87.5	66.4
82.7	72
89.1	79.2
96.1	64.4
92.4	68.6
90.7	77
94.3	73
88.4	58.8
95.9	66.5
96.1	59.3
85.8	73.4
89.3	67.9
99	63.6
87.7	63.1
89.3	64.4
89.3	65.8
96.2	65.1
90.9	72.5
96.1	69
92.4	80.3
95	76
98	70.3
92	62.3
95.8	53.5
95.9	56.7
96	73
87	59.6
99	61.3
97.9	62
94	70.5
93.9	69.2
90.3	61.8
97.9	72.4
98.9	72.4
89.6	60.1
95.8	61.9
93.7	66.2
97.8	59.3
95.6	62
80.8	65.9
85.8	60.8
93.8	60.6
93.6	59.8
97.7	66.2
97.6	68.6
97.6	67.8
100	68.1
100	67.5
97.8	73.3
95.8	77
97.8	73
95.8	73.8
96.7	73
91.4	65.3
97.7	71.9
96.4	69.6
95.6	63.9
95.6	60
97.6	54.9
95.3	68.6
97.5	63
96.3	62.5
100	73.4
97.6	66.7
98.8	65.9
100	65.3
97.6	73.9
97.4	59.1
89.5	45.4
100	55.4
100	60.6
100	57.5
100	53.8
97	58.1
100	59.7
96.9	70.4
100	60.6
97.3	59.5
100	65
97	68.5
100	71.3
100	69.1
100	67.6
100	67
97.1	79.1
100	60.3
100	63.2
100	62.9
100	66.7
95	61.9
97	55.5
100	58.7
100	64.6
97.3	59.9
100	57.6
96.8	61.2
100	58.3
100	67.7
100	69.1
85.7	71.4
