2000
Tmax	Tmin
21.1	1.9
21.5	2.3
21.9	1.8
21.5	1.5
21.4	1.6
21	0.9
21	1.2
19.5	1.7
19.6	1.6
21	2.6
21.4	3.2
24.6	2
19	8
21.3	3
22.5	0.5
22.1	-3
21.7	-0.9
21	0.5
21.4	1.3
20.2	2
19.2	5.4
19	6.4
18.6	7
18.1	4.9
20.2	3
21	3
21.2	1.2
20.8	1
19.9	0.5
20.2	1.6
18.3	7.1
15.2	3.6
22.5	5.6
22.2	4.4
22.7	1
20.4	3.2
13.8	6.1
20.8	4.5
21.6	4.5
21.3	1
22.4	0.4
20.2	0.6
21.1	6
23	3.3
22.6	5.6
23.1	1.6
22	4.6
23	3.6
21.2	1.5
21.7	0.6
21	4
22.5	0.2
22.4	1.2
23.1	1.2
23.8	1.8
22	2.5
20.7	4.6
20.2	1.7
16.5	3.3
19.3	5.5
18.5	8.4
22.8	4.2
22.7	7
23	4.6
25.5	4.8
26.5	5.3
26.8	5.7
25	7.4
23.9	4.6
23.5	4.5
25	5.8
24.4	6.2
23.4	8.5
23.2	8.3
24.6	6.7
24.1	6.7
24.8	6.4
26.3	6.1
26.4	6.4
27.1	7.2
27.2	6.6
28.5	6.7
21.7	10.7
24.5	5
26.8	5.3
27.6	7.5
27.5	10.2
28.2	5.3
28.7	8
29	9.6
30.5	10.7
31.5	12.7
32.4	11.6
31.1	11.3
31.7	10.7
31.7	9.6
30.2	9.4
30.5	9.8
31.2	9.2
30.7	10.4
28.6	8.7
29.5	10
29.5	11
28.5	12.3
26	13.3
27.4	12.6
28.6	13.5
28.5	12
29.5	11.2
27.3	13.4
27.9	13
27.4	14
28.7	12.1
30.6	13.5
25.6	13.4
25.5	13.4
26	13.6
26.5	15
28.5	15
30	13.5
28.9	12.6
29.7	15
29.6	13
28.4	15
27.9	17.7
29.4	17
29.2	17.3
25.7	15
28	13.1
28.1	15.6
28.5	16
31.5	16.5
31.6	19.4
30.7	19
32.3	15
31.5	16.5
27	17.8
31	17.4
31	19.9
30.1	17.1
25.5	17.7
26.4	18.3
27.4	17.8
28.1	18
27	18.5
28.1	19.7
27.4	20.1
28.8	18.4
28.5	17.7
29.6	18.5
25.4	16.7
25	18.4
27.5	18.3
29.6	18.4
31.3	19.5
30.5	20
30.4	18.3
26	19.5
24	19.3
27.5	19.6
27	19.4
28.8	20.3
30.7	20
29.4	20.8
30.8	19
30	20
28.5	21.1
29.5	20.3
29.8	20.5
30.5	19.8
29.5	19
29.6	20
30.6	20.5
26.4	20.2
29	18.8
26.7	19.7
29.8	19.3
29.3	19.5
29.6	20.4
29.5	20.2
29.5	20.6
28.4	20.2
26.7	18.8
28.7	20
29.1	20.4
29.4	20
31.2	19.5
23.8	20.5
28.6	20.5
29.7	19
29.7	20.4
29.7	20.5
29.6	20
30.8	20.9
29.8	21
30.3	20.4
29.6	20.4
29.3	20
30.4	19.8
29	20
30	19.6
29.5	20.4
25.6	20.1
30.1	19.9
29.4	20.5
28	20.6
28.9	19.3
29.3	19.4
29.4	20.2
30.3	19.8
27.2	20.3
28.2	19.6
27.2	20.6
23.4	20
26	19.6
28.8	18.7
29.5	19.8
29.2	20.5
29.6	20.5
30.5	20
28.9	19.8
29	20.7
27.2	19.4
29	19
29.5	20.1
27.9	20.4
29.6	19.6
29.4	19.9
29.6	19.7
30.5	20.2
29.7	21.2
31	20
30.6	20.3
27.2	20.4
31.3	20.5
30.5	19.7
29.6	20.5
30.6	19.3
31.3	20.2
31	19.5
27.9	20
29.8	20
24.4	20
31	19.8
26.2	19.3
27.5	19.5
30.4	19.8
29	20.2
26.7	18.8
30	19
28.6	19.6
24.5	19.7
25.6	19.1
27.2	19.1
30	18.7
30.7	19
31.2	19.1
30.7	20.3
27.5	19.2
26.7	19.5
28.8	19.5
27.6	18.5
29	18
26.7	17.8
26	18
26.5	17
28	18.1
28.3	17.3
28	16.6
28.5	14.5
28.4	14.8
28.5	15.7
27.4	14.6
28	12.5
28.7	12.7
27.6	16.4
28.6	16
29.3	17.7
29.8	16
29.2	16.3
30	17.5
30.2	17
29	15
28.5	15.5
28.8	15.4
28.6	14.8
28.6	14.2
28	13.3
28	12
28.5	12.5
29.3	11.8
28	11.6
27.7	10.8
27.4	11.6
26.2	12.6
27.5	12.8
27	12.8
26	12.8
26	12
27	12.4
26.8	11.2
26.4	12.3
23.5	12
26.5	10.5
27.4	9
23.7	17
25.7	11.5
26.9	10
26.4	11.5
26.1	10.5
26.4	9.8
26	9.1
25.8	9
25.5	10.5
25.8	12
24.2	12.5
24.6	12.3
24.7	13.5
24.2	11.8
24.2	8.5
24.8	10
24.8	8.7
24.5	11.3
24.5	10.2
24	7.8
24.4	7.5
22.8	6.3
22.5	6.2
22.4	5.8
23.8	8.4
24	8
24.2	7
20	7.2
22.7	4.8
24	4
21.3	1.5
19.5	1.5
21.5	1.5
22.3	1.5
21.5	2.5
20	2.2
21	2.5
20.7	3.2
21.1	3.6
20.7	4
20.5	3.5
19.2	3
20.4	4
21.5	2
21.1	3
21	3.7
22.4	4
22.2	3
22.8	4
19.8	3.6
20.3	8.6
23	3.2
23.1	2.5
22	3.5
22.4	5.6
22.2	3.5
21	3
21.7	2.8
18.6	3.5
19.1	2.4
20.8	9
